Situation,Next,Probability
s1,f1,0.023944228766215322
s1,f2,0.019789792633273365
s1,s1,6.707066881292807e-05
s1,s2,0.01524476848783259
s1,s3,0.01622715651926901
s1,s4,5.1289334974592054e-05
s1,s5,0.028426127576302748
s1,s6,0.029436132941956253
s1,s7,0.019012561941735315
s1,s8,0.016349461856516114
s1,s9,0.030237035634251806
s1,s10,0.028808824921882397
s1,s11,0.03646277183347536
s1,s12,0.01441624846131995
s1,s13,0.007795978916137992
s1,s14,0.01953729129185999
s1,s15,0.0066557775463182145
s1,s16,0.015292112489347599
s1,s17,0.014005933781523214
s1,s18,0.00867973361108481
s1,s19,0.034561121105955876
s1,s20,0.004134709465644037
s1,s21,0.03482151311428842
s1,s22,0.005255184168165893
s1,s23,0.017032004545024144
s1,s24,0.033981157087397025
s1,s25,0.0002091026733579522
s1,s26,0.037752895874759336
s1,s27,0.0343086197645425
s1,s28,0.015611684499573904
s1,s29,0.015319729823564688
s1,s30,0.004907994823722501
s1,s31,0.020231669980746773
s1,s32,0.010762869677745163
s1,s33,0.02768045955244137
s1,s34,0.0034127134425401633
s1,s35,0.02094577533693148
s1,s36,0.017525171227472144
s1,s37,0.038565634567433636
s1,s38,0.03462424644130922
s1,s39,0.02781854622352681
s1,s40,0.016065397847426065
s1,s41,0.034561121105955876
s1,s42,0.01583262317331061
s1,s43,0.006371713537228167
s1,s44,0.008261528264368904
s1,s45,0.030809108985891488
s1,s46,0.03555929047123063
s1,s47,0.006063977527380614
s1,s48,0.003874317457311492
s1,s49,0.02768835021936054
s1,s50,0.025009468800303
s2,f1,0.0087783527630832
s2,f2,0.019687533422734865
s2,s1,0.02325399633069791
s2,s2,0.01420003455396589
s2,s3,0.010448461114447671
s2,s4,0.03918995631391455
s2,s5,0.019897325358497395
s2,s6,0.019691646990102757
s2,s7,0.017618409036684792
s2,s8,0.008062592041069856
s2,s9,0.025660433240915187
s2,s10,0.020000164542694716
s2,s11,0.020148252967938856
s2,s12,0.025249076504125906
s2,s13,0.00464010399098306
s2,s14,0.030086631728767823
s2,s15,0.00621971386025389
s2,s16,0.0011271174588026228
s2,s17,0.0375116208278143
s2,s18,0.023163497848604265
s2,s19,0.006898452475956199
s2,s20,0.03179787575381122
s2,s21,0.03151403960542662
s2,s22,0.006001694789755572
s2,s23,0.00930900295354137
s2,s24,0.030024928218249432
s2,s25,0.0003085175525919588
s2,s26,0.01914865609754091
s2,s27,0.0344881488124131
s2,s28,0.0024640268533677777
s2,s29,0.024031460563229644
s2,s30,0.03027996939505878
s2,s31,0.01285489802466495
s2,s32,0.02110260059728998
s2,s33,0.009144460258825659
s2,s34,0.03951081456861019
s2,s35,0.022196809517149464
s2,s36,0.01820664917029346
s2,s37,0.005166640614073337
s2,s38,0.029843931254062147
s2,s39,0.005253025528799085
s2,s40,0.04017309891484093
s2,s41,0.03101629795391159
s2,s42,0.01355009090983883
s2,s43,0.03111502357074102
s2,s44,0.012209067947905782
s2,s45,0.002784885108063415
s2,s46,0.034492262379780994
s2,s47,0.0385358991024196
s2,s48,0.005828924960304075
s2,s49,0.00955993056298283
s2,s50,0.016552995088400562
s3,f1,0.009604918608573485
s3,f2,0.03206623985867346
s3,s1,0.01567319629574247
s3,s2,0.028421795723342178
s3,s3,0.03442400047294313
s3,s4,0.01940457850682116
s3,s5,0.00802612315300058
s3,s6,0.028630447105135955
s3,s7,0.0341805738608504
s3,s8,0.014146563685618008
s3,s9,0.026217046122387944
s3,s10,0.033425951363362905
s3,s11,0.014052670563810809
s3,s12,0.028091431035502032
s3,s13,0.021574552877476432
s3,s14,0.019634095026794314
s3,s15,0.003025445036009751
s3,s16,0.006103052917467946
s3,s17,0.0023368954760902903
s3,s18,0.007869634616655248
s3,s19,0.0199296844843355
s3,s20,0.0319375715065673
s3,s21,0.012522560430656452
s3,s22,0.016476504115648508
s3,s23,0.016309583010213485
s3,s24,0.022259624914365995
s3,s25,0.03377718118938243
s3,s26,0.007466241945187282
s3,s27,0.006906360737373983
s3,s28,0.022996859796704003
s3,s29,0.016413908701110373
s3,s30,0.01124978700171442
s3,s31,0.03053265220248921
s3,s32,0.010161322293356888
s3,s33,0.028122728742771098
s3,s34,0.022482186388279358
s3,s35,0.011743595271959688
s3,s36,0.007963527738462447
s3,s37,0.03351288943911031
s3,s38,0.0022082271239841286
s3,s39,0.02288905658277722
s3,s40,0.013513654494176887
s3,s41,0.02711772458713108
s3,s42,0.008196521781465498
s3,s43,0.0076122979124429255
s3,s44,0.02637005713570338
s3,s45,0.018862084914157345
s3,s46,0.02824444204881747
s3,s47,0.015714926572101225
s3,s48,0.026140540615730228
s3,s49,0.026606528701736326
s3,s50,0.026849955313829065
s4,f1,0.0022699938670341134
s4,f2,0.023663690452485443
s4,s1,0.003277552548366799
s4,s2,0.0272877157489785
s4,s3,0.009079975468136454
s4,s4,0.03491409865313697
s4,s5,0.00561524798687386
s4,s6,0.020776417551433283
s4,s7,0.015539501875731774
s4,s8,9.557868913827846e-05
s4,s9,0.030354198692164935
s4,s10,0.01651520099401837
s4,s11,0.030836074583237092
s4,s12,0.018801124642575526
s4,s13,0.0068816656179560495
s4,s14,0.029760814330431457
s4,s15,0.019589648827966325
s4,s16,0.03419725848459988
s4,s17,0.017323637406312972
s4,s18,0.008749432501533242
s4,s19,0.004460338826452995
s4,s20,0.01853828324744526
s4,s21,0.032194088458076794
s4,s22,0.001083225143567156
s4,s23,0.03659469060381837
s4,s24,0.02991612970028116
s4,s25,0.0247986873860025
s4,s26,0.007455137752785721
s4,s27,0.01783737286043122
s4,s28,0.009629552930681556
s4,s29,0.0071325596769440305
s4,s30,0.0198724024500004
s4,s31,0.025308440394739985
s4,s32,0.030804215020190998
s4,s33,0.03954966507634348
s4,s34,0.0021425556148497423
s4,s35,0.0012584527403206665
s4,s36,0.037299583436213174
s4,s37,0.015575343884158628
s4,s38,0.027594364043297147
s4,s39,0.02655892824429913
s4,s40,0.023384919275832132
s4,s41,0.02596554388256565
s4,s42,0.012046897276803848
s4,s43,0.03788500290718513
s4,s44,0.01249691360482991
s4,s45,0.03667035706605284
s4,s46,0.029689130313577748
s4,s47,0.0072480505929861175
s4,s48,0.019119720273036454
s4,s49,0.01269603587386799
s4,s50,0.011664582520250735
s5,f1,0.003369269488531839
s5,f2,0.036760116986257786
s5,s1,0.011290723903457785
s5,s2,0.001166599362857271
s5,s3,0.006628405470779949
s5,s4,0.033513218060263424
s5,s5,0.03419849321047329
s5,s6,0.027798512789763294
