Situation,Next,Probability
s1,f1,0.0
s1,f2,0.0
s1,s1,0.0
s1,s2,0.0
s1,s3,0.0
s1,s4,0.0
s1,s5,0.0
s2,f1,0.0
s2,f2,0.0
s2,s1,0.0
s2,s2,0.0
s2,s3,0.0
s2,s4,0.0
s2,s5,0.0
s3,f1,0.9999788277979348
s3,f2,2.6992191084601047e-06
s3,s1,4.097811516889582e-06
s3,s2,3.1428867592837467e-06
s3,s3,3.1721158722814365e-06
s3,s4,4.2351470509587885e-06
s3,s5,3.825021757437048e-06
s4,f1,4.0270601101008286e-06
s4,f2,0.999977018809894
s4,s1,3.2347482053388845e-07
s4,s2,4.564608593673477e-06
s4,s3,5.194803628443975e-06
s4,s4,3.946264377991299e-06
s4,s5,4.924978575112873e-06
s5,f1,0.9999809525555018
s5,f2,1.4705612877652106e-06
s5,s1,3.850132319498246e-06
s5,s2,9.80199706640844e-07
s5,s3,4.600186043870187e-06
s5,s4,3.8734551749164495e-06
s5,s5,4.272909965470612e-06
