Situation,Next,Probability
s1,f1,0.0075856374168045
s1,f2,0.9554048196353532
s1,s1,0.0117397940060462
s1,s2,0.0013070209060621
s1,s3,0.0094900567240292
s1,s4,0.0144709760835516
s1,s5,1.695228153128603e-06
s2,f1,0.9591081454549458
s2,f2,0.0092699291524458
s2,s1,0.0071390841423001
s2,s2,0.0128518581727641
s2,s3,0.0082602841377799
s2,s4,0.001532504658507
s2,s5,0.001838194281257
s3,f1,0.2909131172953421
s3,f2,0.1409906252306783
s3,s1,0.0978814497674761
s3,s2,0.1014984867498339
s3,s3,0.1949509116409537
s3,s4,0.1644644570753672
s3,s5,0.0093009522403484
s4,f1,0.0
s4,f2,0.0
s4,s1,0.0
s4,s2,0.0
s4,s3,0.0
s4,s4,0.0
s4,s5,0.0
s5,f1,0.0
s5,f2,0.0
s5,s1,0.0
s5,s2,0.0
s5,s3,0.0
s5,s4,0.0
s5,s5,0.0
