Situation,Next,Probability
s1,s2,0.72
s1,s3,0.05
s1,s4,0.03
s1,s5,0.01
s1,s6,0.06
s1,s7,0.02
s1,f2,0.04
s1,f1,0.07
s2,s1,0.8
s2,s3,0.05
s2,s4,0.03
s2,s5,0.01
s2,s6,0.01
s2,s7,0.02
s2,f2,0.04
s2,f1,0.04
s3,s1,0.64
s3,s2,0.05
s3,s4,0.03
s3,s5,0.01
s3,s6,0.06
s3,s7,0.02
s3,f2,0.04
s3,f1,0.15
s4,s1,0.5
s4,s2,0.05
s4,s3,0.03
s4,s5,0.01
s4,s6,0.06
s4,s7,0.02
s4,f2,0.04
s4,f1,0.29
s5,s1,0.81
s5,s2,0.05
s5,s3,0.03
s5,s4,0.01
s5,s6,0.01
s5,s7,0.02
s5,f2,0.04
s5,f1,0.03
s6,s1,0.72
s6,s2,0.05
s6,s3,0.03
s6,s4,0.01
s6,s5,0.06
s6,s7,0.02
s6,f2,0.04
s6,f1,0.07
s7,s1,0.81
s7,s2,0.05
s7,s3,0.03
s7,s4,0.01
s7,s5,0.01
s7,s6,0.02
s7,f2,0.04
s7,f1,0.03
